,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,shipping_days,arrival_status,estimated_days,arrival_days,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
110420,belo horizonte,MG,2017-02-24 13:11:57,2017-02-24 13:25:11,2017-03-01 14:53:29,2017-03-08 12:05:18,2017-03-24,3,,,2017-03-09 00:00:00,2017-03-10 08:30:27,2017-03-07 13:25:11,97.9,17.43,53.0,553.0,1.0,1200.0,1,credit_card,1,115.33,ibitinga,SP,furniture_decor,Furniture,7875.0,6,OnTime/Early,27,11,Slow,Fast,Very Fast
78010,brasilia,DF,2018-03-26 21:29:13,2018-03-26 21:47:22,2018-03-28 00:26:38,2018-04-09 20:02:51,2018-04-18,4,,,2018-04-10 00:00:00,2018-04-11 18:38:13,2018-04-01 21:47:22,239.99,20.65,58.0,1381.0,8.0,550.0,1,credit_card,3,260.64,ribeirao preto,SP,auto,Electronics,3000.0,12,OnTime/Early,22,13,Neutral,Fast,Fast
69572,porto alegre,RS,2017-11-13 23:30:09,2017-11-15 02:35:54,2017-11-17 19:08:56,2017-11-30 00:22:35,2017-12-13,5,,,2017-12-01 00:00:00,2017-12-01 11:19:32,2017-11-21 02:35:54,109.0,18.01,57.0,396.0,3.0,6550.0,1,boleto,1,127.01,campo limpo paulista,SP,stationery,Books & Stationery,31920.0,12,OnTime/Early,29,16,Slow,Neutral,Fast
13668,amparo,SP,2017-06-02 14:02:21,2017-06-02 14:10:15,2017-06-20 12:50:23,2017-06-26 17:27:46,2017-07-04,5,,,2017-06-27 00:00:00,2017-06-28 05:13:09,2017-06-19 14:10:15,349.9,15.47,60.0,402.0,5.0,2200.0,2,voucher,1,250.0,penapolis,SP,fashion_shoes,Fashion,14208.0,6,OnTime/Early,31,24,Slow,Neutral,Very Fast
48137,campinas,SP,2017-10-23 08:59:20,2017-10-23 09:14:19,2017-11-01 19:07:33,2017-11-06 20:22:45,2017-11-09,3,,"Os produtos chegaram dentro do prazo mas em datas diferentes (4 unidades em um dia e 1 unidade em outro dia), gerando assim confusão pois no site constava produtos ENTREGUES. Tirando isso foi tudo Ok.",2017-11-07 00:00:00,2017-11-16 16:11:48,2017-11-03 09:14:19,196.99,49.05,47.0,1158.0,1.0,17000.0,1,credit_card,10,1230.2,itaquaquecetuba,SP,office_furniture,Furniture,87696.0,5,OnTime/Early,16,14,Neutral,Fast,Very Fast
28225,itaquaquecetuba,SP,2018-06-11 19:56:03,2018-06-12 04:57:24,2018-06-13 14:31:00,2018-06-28 20:09:42,2018-06-20,1,Entrega do produto,Falta de atenção e respeito com cliente,2018-06-23 00:00:00,2018-06-27 08:09:13,2018-06-18 04:57:24,42.0,7.55,55.0,369.0,2.0,200.0,1,boleto,1,49.55,sao paulo,SP,sports_leisure,Entertainment,2496.0,15,Late,8,17,Fast,Neutral,Fast
108642,itambe,PE,2017-03-29 14:39:31,2017-03-29 15:55:24,2017-03-30 07:42:28,2017-04-18 11:48:12,2017-05-11,5,,,2017-04-19 00:00:00,2017-04-23 20:25:39,2017-04-13 15:55:24,66.99,24.67,63.0,361.0,3.0,1800.0,1,credit_card,9,91.66,monte siao,MG,toys,Entertainment,15960.0,19,OnTime/Early,42,19,Very Slow,Neutral,Neutral
95786,campos dos goytacazes,RJ,2018-06-21 09:58:24,2018-06-21 10:22:57,2018-06-22 13:53:00,2018-06-29 19:48:58,2018-07-18,5,SUPER RECOMENDO,PRODUTO RECEBIDO NO PRAZO,2018-06-30 00:00:00,2018-07-11 23:36:15,2018-06-26 10:22:57,99.18,19.88,49.0,1226.0,1.0,750.0,1,credit_card,1,119.06,sao paulo,SP,housewares,Home & Garden,18375.0,7,OnTime/Early,26,8,Slow,Fast,Very Fast
23039,criciuma,SC,2018-08-13 11:15:49,2018-08-13 12:24:20,2018-08-14 12:19:00,2018-08-23 18:03:14,2018-09-11,5,RECOMENDADO,,2018-08-24 00:00:00,2018-08-27 11:50:10,2018-08-16 12:24:20,68.65,47.53,45.0,1250.0,1.0,5900.0,1,credit_card,4,116.18,divinopolis,MG,housewares,Home & Garden,25025.0,9,OnTime/Early,28,10,Slow,Fast,Fast
70660,palhoca,SC,2017-07-25 17:04:50,2017-07-25 17:23:19,2017-07-29 12:13:02,2017-08-17 16:53:48,2017-08-18,5,,,2017-08-18 00:00:00,2017-08-18 23:39:30,2017-08-02 17:23:19,70.0,16.25,51.0,278.0,1.0,700.0,2,credit_card,2,63.35,umuarama,PR,sports_leisure,Entertainment,7260.0,19,OnTime/Early,23,22,Neutral,Neutral,Neutral
111992,curitiba,PR,2018-02-08 18:36:58,2018-02-10 02:36:10,2018-02-14 18:52:56,2018-03-13 16:42:54,2018-03-09,5,,,2018-03-14 00:00:00,2018-03-16 20:27:32,2018-02-15 02:36:10,157.5,17.54,58.0,810.0,2.0,225.0,1,boleto,1,175.04,formiga,MG,health_beauty,Beauty & Health,2574.0,26,Late,28,32,Slow,Slow,Slow
15501,votuporanga,SP,2018-03-10 15:23:53,2018-03-10 15:35:31,2018-03-12 20:46:30,2018-03-20 13:54:50,2018-04-16,1,,,2018-03-21 00:00:00,2018-03-24 10:38:14,2018-03-19 15:31:43,39.9,26.99,54.0,666.0,2.0,450.0,1,credit_card,6,66.89,colombo,PR,toys,Entertainment,3575.0,7,OnTime/Early,36,9,Slow,Fast,Very Fast
107348,belo horizonte,MG,2017-08-17 09:11:33,2017-08-17 09:25:22,2017-08-24 13:22:52,2017-09-04 21:46:00,2017-09-19,5,,,2017-09-05 00:00:00,2017-09-08 06:38:33,2017-08-31 09:25:22,59.9,16.18,56.0,336.0,1.0,750.0,1,credit_card,2,152.16,ibitinga,SP,fashion_male_clothing,Fashion,2125.0,11,OnTime/Early,32,18,Slow,Neutral,Fast
100453,rio de janeiro,RJ,2017-07-28 19:12:29,2017-07-28 19:25:13,2017-08-01 20:42:40,2017-08-02 18:33:57,2017-08-23,5,,,2017-08-03 00:00:00,2017-08-04 00:52:26,2017-08-03 19:25:13,52.5,20.6,59.0,358.0,1.0,425.0,1,credit_card,2,324.64,blumenau,SC,watches_gifts,Electronics,2640.0,0,OnTime/Early,25,4,Slow,Very Fast,Very Fast
82653,belo horizonte,MG,2018-03-18 07:12:03,2018-03-18 07:28:17,2018-03-20 00:51:05,2018-03-22 20:33:22,2018-04-11,5,,"Espetacular a mochila, atendeu minhas expectativas. ",2018-03-23 00:00:00,2018-03-24 00:06:12,2018-03-28 07:28:17,81.4,15.42,48.0,533.0,1.0,1100.0,1,credit_card,4,96.82,borda da mata,MG,stationery,Books & Stationery,34452.0,2,OnTime/Early,23,4,Neutral,Very Fast,Very Fast
85564,matao,SP,2017-12-04 08:36:15,2017-12-04 09:16:50,2017-12-08 01:12:43,2017-12-12 13:59:15,2017-12-29,5,,,2017-12-13 00:00:00,2017-12-20 13:41:18,2017-12-12 09:16:50,199.9,12.9,56.0,2085.0,4.0,600.0,1,credit_card,4,212.8,sao paulo,SP,fixed_telephony,Electronics,6118.0,4,OnTime/Early,24,8,Neutral,Fast,Very Fast
43118,sao paulo,SP,2017-08-03 19:02:29,2017-08-03 19:15:20,2017-08-11 18:47:55,2017-08-15 15:23:42,2017-08-30,4,,,2017-08-16 00:00:00,2017-08-16 23:25:52,2017-08-09 19:15:20,194.9,13.7,52.0,2494.0,1.0,1400.0,1,credit_card,4,208.6,marilia,SP,costruction_tools_garden,Home & Garden,6720.0,3,OnTime/Early,26,11,Slow,Fast,Very Fast
2522,fortaleza,CE,2018-05-12 12:40:16,2018-05-12 12:55:28,2018-05-14 14:29:00,2018-05-31 02:48:31,2018-06-06,3,Adesivos amassados,O adesivos chegaram amassados. Vou ver se quando aplicar normaliza.,2018-05-31 00:00:00,2018-06-01 19:15:47,2018-05-16 12:55:28,69.9,19.18,59.0,1691.0,5.0,350.0,1,credit_card,1,89.08,campinas,SP,furniture_decor,Furniture,7072.0,16,OnTime/Early,24,18,Neutral,Neutral,Neutral
23457,abaetetuba,PA,2017-04-03 17:52:36,2017-04-03 18:02:58,2017-04-04 14:34:53,2017-04-19 14:46:09,2017-05-09,3,,,2017-04-20 00:00:00,2017-04-21 18:30:02,2017-04-07 18:02:58,255.61,28.05,35.0,514.0,2.0,4338.0,1,credit_card,8,283.66,barueri,SP,watches_gifts,Electronics,2856.0,15,OnTime/Early,35,15,Slow,Fast,Fast
52881,feira de santana,BA,2017-08-26 18:02:17,2017-08-28 17:25:05,2017-08-30 10:38:04,2017-09-11 18:12:33,2017-09-21,5,,"Execelente negócio.
",2017-09-12 00:00:00,2017-09-15 00:36:55,2017-09-01 17:25:05,106.72,18.32,56.0,643.0,2.0,900.0,1,credit_card,6,125.04,ibitinga,SP,furniture_decor,Furniture,10692.0,12,OnTime/Early,25,16,Slow,Neutral,Fast
19391,sao paulo,SP,2018-04-08 19:09:35,2018-04-08 19:30:11,2018-04-11 22:12:21,2018-04-14 13:53:21,2018-04-24,4,,,2018-04-15 00:00:00,2018-04-17 17:26:47,2018-04-12 19:30:11,24.99,7.39,59.0,752.0,6.0,300.0,1,credit_card,3,32.38,sao paulo,SP,telephony,Electronics,816.0,2,OnTime/Early,15,5,Fast,Very Fast,Very Fast
84747,duque de caxias,RJ,2018-04-24 23:25:11,2018-04-24 23:35:09,2018-04-30 06:18:00,2018-05-05 17:31:33,2018-05-24,4,,,2018-05-06 00:00:00,2018-05-08 13:02:01,2018-05-01 23:35:09,99.9,0.0,33.0,523.0,3.0,584.0,1,credit_card,3,499.5,ribeirao preto,SP,watches_gifts,Electronics,2288.0,5,OnTime/Early,29,10,Slow,Fast,Very Fast
37094,lagoa vermelha,RS,2017-09-18 08:53:13,2017-09-18 09:10:20,2017-09-18 16:47:13,2017-10-03 22:02:54,2017-10-17,5,,,2017-10-04 00:00:00,2017-10-05 11:57:46,2017-09-22 09:10:20,129.0,36.22,37.0,1445.0,3.0,900.0,1,credit_card,3,165.22,brasilia,DF,toys,Entertainment,13500.0,15,OnTime/Early,28,15,Slow,Fast,Fast
71729,astolfo dutra,MG,2017-02-07 22:52:44,2017-02-07 23:05:13,2017-02-10 13:52:34,2017-02-15 12:54:49,2017-03-06,5,,,2017-02-15 00:00:00,2017-02-21 23:30:22,2017-02-11 22:52:44,34.9,10.96,44.0,424.0,5.0,100.0,1,credit_card,1,127.58,sete lagoas,MG,auto,Electronics,1584.0,4,OnTime/Early,26,7,Slow,Very Fast,Very Fast
