,freight_value,price,payment_value,payment_installments,payment_sequential
103604,13.83,67.8,81.63,1,1
98883,15.69,74.8,142.08,5,1
20503,19.53,47.9,67.43,1,1
59728,18.59,69.9,88.49,1,1
98665,33.82,48.0,47.86,1,3
59401,15.1,29.9,90.0,1,1
26882,10.96,328.9,339.86,6,1
43886,11.5,34.0,45.5,1,1
97735,18.8,99.97,118.77,2,1
22589,21.13,69.9,91.03,3,1
2436,18.23,15.0,33.23,1,1
41985,19.65,64.99,84.64,8,1
9900,12.93,84.99,97.92,5,1
80513,14.34,86.9,101.24,5,1
106936,10.06,129.95,206.04,10,1
50045,30.75,129.99,321.48,2,1
59971,7.39,14.0,21.39,1,1
95578,9.45,99.9,109.35,2,1
36675,17.31,57.0,74.31,3,1
44074,8.72,27.9,20.84,1,2
36332,14.59,120.0,16.89,1,1
21665,11.74,46.2,57.94,1,1
37951,45.58,159.99,205.57,5,1
10366,25.63,32.9,58.53,5,1
112293,12.85,234.9,247.75,3,1
52954,26.61,75.0,101.61,2,1
43022,11.15,59.9,142.1,1,1
87391,37.32,59.0,68.33,1,2
13800,23.1,73.9,388.0,8,1
62291,18.27,99.9,118.17,5,1
98939,45.3,120.0,165.3,1,1
55530,53.22,119.99,173.21,10,1
109982,17.8,55.83,234.5,4,1
53033,22.32,55.0,77.32,1,1
46286,1.68,4.4,140.01,10,1
7266,14.13,54.9,69.03,1,1
69985,15.46,22.9,38.36,1,1
270,18.2,135.0,153.2,2,1
89799,13.49,129.9,143.39,1,1
74741,16.32,47.9,64.22,3,1
69640,13.64,42.9,56.54,1,1
31060,21.12,89.9,111.02,10,1
104577,14.1,38.9,23.0,1,2
39077,8.07,126.12,134.19,1,1
21034,12.81,97.56,220.74,1,1
53004,11.74,75.9,87.64,3,1
31939,17.81,75.0,92.81,1,1
34089,16.14,199.0,215.14,8,1
73938,16.14,119.9,136.04,1,1
70066,27.49,179.0,206.49,4,1
54405,16.08,327.0,385.3,8,1
91158,19.04,19.9,155.76,1,1
75980,15.1,29.0,44.1,4,1
60343,27.45,129.9,157.35,4,1
81152,0.0,99.9,99.9,1,1
2104,7.6,49.0,56.6,1,1
69941,7.87,14.49,22.36,1,1
3469,28.99,84.9,113.89,3,1
21835,24.78,79.9,104.68,6,1
32909,19.39,59.99,238.14,1,1
12898,12.65,134.9,147.55,2,1
45776,7.46,28.99,218.7,1,1
83743,15.54,81.0,300.15,1,1
22373,38.81,137.9,1767.1,1,1
62626,8.72,30.0,38.72,1,1
96561,19.42,64.8,84.22,1,1
37255,14.7,75.9,90.6,1,1
25066,15.1,44.99,60.09,1,1
62037,22.29,117.6,139.89,8,1
98926,15.19,69.9,170.18,3,1
41082,12.97,44.0,56.97,2,1
94944,14.52,17.9,32.42,1,1
12321,14.44,419.99,434.43,2,1
103487,40.99,549.0,589.99,4,1
86476,37.66,381.99,419.65,1,1
23661,9.09,49.99,59.08,5,1
67376,12.69,49.99,2.69,1,5
40861,14.28,180.0,194.28,2,1
54439,16.11,42.9,59.01,1,1
25462,7.78,29.9,37.68,1,1
896,20.99,176.99,197.98,2,1
83160,32.15,159.99,192.14,2,1
64332,22.85,12.5,35.35,3,1
40906,15.64,360.0,751.28,5,1
56710,21.52,62.99,84.51,4,1
69354,15.35,34.99,100.68,2,1
69369,49.61,153.9,203.51,1,1
72245,15.43,97.0,112.43,4,1
5488,17.97,219.0,236.97,10,1
41653,21.57,110.0,131.57,1,1
89500,82.92,230.0,312.92,10,1
27008,8.11,23.8,31.91,3,1
50280,16.26,299.0,315.26,1,1
54634,19.0,129.0,148.0,1,1
3614,7.78,29.77,37.55,1,1
91810,18.29,27.6,45.89,1,1
13364,13.8,65.0,472.8,1,1
7149,15.56,65.0,80.56,1,1
27090,22.28,38.5,60.78,5,1
21004,16.79,49.99,66.78,1,1
77435,15.1,23.7,77.6,1,1
89307,14.1,32.29,92.78,1,1
84997,21.73,93.0,114.73,2,1
8693,9.12,79.99,445.55,1,1
5779,13.72,150.82,164.54,1,1
50361,18.24,9.9,57.99,1,1
106132,8.82,61.99,70.81,3,1
84409,15.52,109.9,125.42,5,1
54363,14.1,34.9,98.0,4,1
5562,22.06,19.99,20.0,1,2
28049,15.28,169.99,185.27,1,1
99215,18.28,26.0,44.28,1,1
51722,18.24,19.93,38.17,1,1
52843,63.11,122.99,186.1,5,1
6843,10.24,189.0,199.24,1,1
11256,17.67,59.9,77.57,7,1
18926,15.56,45.9,10.42,1,3
49898,7.78,24.99,32.77,2,1
67218,15.17,59.9,75.07,7,1
75570,7.78,18.9,26.68,2,1
45470,22.99,57.9,80.89,4,1
56530,17.66,49.9,67.56,1,1
59591,20.94,65.0,85.94,2,1
11269,7.87,32.9,40.77,4,1
93641,8.11,20.3,28.41,1,1
19936,10.46,369.0,379.46,4,1
33778,18.23,39.0,57.23,1,1
31494,19.75,79.9,99.65,1,1
81793,18.14,339.9,358.04,6,1
108198,18.1,43.95,124.1,6,1
111499,19.98,69.9,50.0,1,2
90553,11.15,20.89,96.12,1,1
99812,17.93,99.9,471.33,10,1
46549,15.23,44.99,120.44,1,1
27570,16.53,79.99,96.52,1,1
107266,15.1,42.9,58.0,5,1
103822,34.08,299.0,382.27,5,1
6091,15.1,12.98,28.08,1,1
105105,25.69,1199.9,1225.59,10,1
99530,16.59,89.18,105.77,1,1
11643,7.71,29.9,37.61,1,1
75548,62.44,339.9,402.34,8,1
71040,18.7,116.99,271.38,4,1
93602,23.73,83.0,106.73,1,1
31067,21.4,155.0,176.4,1,1
9410,13.18,119.9,133.08,1,1
19765,17.76,72.9,2.62,1,1
23186,26.03,169.99,196.02,3,1
102901,16.79,29.9,20.0,1,6
16688,16.46,99.9,116.36,7,1
16962,15.69,115.0,80.91,1,2
68735,12.69,25.0,75.38,6,1
45723,7.39,53.99,61.38,2,1
79574,12.48,14.9,27.38,1,1
57330,18.24,54.0,130.09,1,1
89809,47.81,361.98,767.84,6,1
61751,16.3,219.9,236.2,1,1
33319,17.72,62.8,80.52,1,1
89469,26.78,99.9,126.68,1,1
46290,18.74,99.0,117.74,5,1
86528,18.42,45.0,63.42,1,1
60290,16.79,117.8,134.59,1,1
29901,20.68,159.9,180.58,5,1
7095,15.86,107.99,123.85,1,1
94461,15.23,67.9,83.13,1,1
39411,9.13,267.99,277.12,5,1
28624,15.93,31.58,105.22,1,1
24804,56.95,56.7,113.65,2,1
54446,0.0,99.9,99.9,3,1
83342,26.22,169.9,196.12,2,1
33425,19.84,29.5,49.34,2,1
44779,15.1,38.0,53.1,1,1
102628,6.79,45.0,245.12,1,1
62779,28.17,299.0,76.39,3,1
102147,10.96,49.0,59.96,1,1
71960,15.1,48.9,64.0,1,1
98021,14.38,89.9,104.28,2,1
94418,38.42,124.9,163.32,8,1
10654,13.66,91.5,105.16,3,1
61369,15.85,239.9,255.75,8,1
63563,14.1,49.9,64.0,3,1
30223,19.12,145.0,164.12,6,1
63334,15.1,45.0,60.1,1,1
64220,23.06,37.19,60.25,1,1
40330,38.23,188.0,226.23,5,1
37385,26.52,239.9,266.42,10,1
78395,10.96,39.9,50.86,1,1
94969,14.27,330.0,344.27,8,1
5581,7.39,11.87,25.0,1,4
18775,15.16,59.0,74.16,1,1
84613,13.7,249.0,262.7,1,1
6767,12.57,94.9,107.47,1,1
71563,23.66,104.9,385.68,3,1
88595,15.95,170.9,186.85,1,1
48168,12.69,49.09,61.78,6,1
101034,14.06,149.0,163.06,10,1
35155,24.07,219.0,243.07,10,1
37863,12.67,109.9,122.57,1,1
9509,15.73,139.9,155.63,1,1
13089,20.98,69.9,30.22,1,2
41130,22.17,189.9,12.07,1,1
56222,18.23,28.5,46.73,1,1
19886,17.8,79.0,96.8,3,1
44171,7.47,28.56,72.95,1,1
20876,14.1,9.0,23.1,2,1
106045,16.53,109.99,126.52,1,1
80329,15.75,65.0,80.75,1,1
37105,18.23,42.99,61.22,1,1
33293,17.66,349.99,367.65,8,1
102322,15.35,34.99,40.79,4,1
21608,15.32,81.25,193.14,2,1
92831,35.51,99.9,228.86,10,1
59177,18.65,109.9,128.55,1,1
86899,7.39,21.99,29.38,2,1
43133,15.65,239.9,575.91,1,1
10424,19.32,49.9,69.22,1,1
72140,15.64,127.0,142.64,1,1
72676,15.4,92.9,108.3,1,1
2989,16.79,29.99,93.56,1,1
77152,18.42,120.0,138.42,2,1
28827,9.42,94.95,208.74,2,1
73405,22.28,29.9,52.18,1,1
109212,15.1,19.9,35.0,1,1
4306,12.7,51.92,64.62,3,1
28416,15.61,79.9,161.9,1,1
616,14.1,29.0,101.2,7,1
8619,13.37,34.9,48.27,1,1
47694,11.99,69.9,81.89,1,1
40898,15.1,15.99,31.09,1,1
18550,17.81,54.9,72.71,1,1
52702,19.72,348.8,368.52,1,1
50656,21.08,90.0,222.16,1,1
100237,18.27,56.0,148.54,1,1
36402,14.15,59.9,74.05,1,1
52743,25.63,13.98,39.61,3,1
69544,8.68,80.0,88.68,5,1
2259,24.38,619.99,1288.74,8,1
963,12.78,224.9,237.68,1,1
17679,18.6,193.0,211.6,3,1
16461,8.63,195.9,204.53,3,1
21616,15.11,49.8,64.91,1,1
6245,33.89,299.0,332.89,1,1
59837,12.83,99.56,112.39,1,1
16305,32.48,640.99,673.47,10,1
86591,7.39,9.95,34.68,3,1
3509,61.35,139.0,200.35,2,1
7251,15.1,41.73,56.83,2,1
54953,8.72,27.18,20.0,1,1
20677,16.11,16.5,32.61,2,1
13529,8.92,24.5,100.26,1,1
33601,26.88,79.99,106.87,1,1
57696,58.9,194.9,137.14,3,1
100917,15.61,64.99,80.6,2,1
72218,34.38,120.0,154.38,2,1
109455,16.49,199.0,215.49,2,1
10843,18.23,11.9,90.39,5,1
93999,12.06,79.99,92.05,9,1
102972,22.0,215.0,237.0,8,1
83293,62.15,47.5,109.65,2,1
5448,10.96,12.99,47.9,1,1
69736,12.55,599.99,612.54,8,1
17613,23.6,239.0,162.6,10,1
26750,15.6,29.99,91.19,3,1
37029,25.38,29.99,55.37,1,1
18555,16.11,31.9,48.01,1,1
98290,22.04,105.0,127.04,1,1
876,9.34,30.0,39.34,2,1
56629,12.93,49.9,62.83,1,1
29247,18.23,17.99,36.22,1,1
28649,26.95,99.0,125.95,1,1
3113,9.41,84.9,71.33,2,1
7340,47.23,179.99,227.22,2,1
46813,25.12,45.0,94.68,1,1
54939,15.1,47.9,63.0,3,1
105880,15.1,44.99,60.09,5,1
55629,20.99,97.99,118.98,10,1
72637,17.67,59.8,232.41,4,1
99631,8.38,159.9,168.28,3,1
34417,15.56,115.0,130.56,1,1
26367,13.72,33.0,137.25,10,1
70749,16.1,173.9,190.0,4,1
101067,16.36,230.0,246.36,8,1
90169,15.1,23.99,39.09,1,1
99512,13.94,131.25,290.38,7,1
102107,14.1,25.9,40.0,1,1
39973,7.61,49.99,57.6,1,1
7600,11.85,13.65,25.5,1,1
40107,15.1,12.49,55.18,1,1
95728,8.48,45.53,54.01,3,1
97984,23.21,388.0,411.21,8,1
83007,9.09,29.99,39.08,1,1
91870,18.44,169.9,188.34,9,1
110740,7.39,24.99,32.38,1,1
39580,11.26,34.9,46.16,1,1
68407,24.03,879.0,903.03,8,1
48501,9.91,99.9,109.81,4,1
67001,12.33,119.9,939.72,8,1
20844,16.14,199.0,215.14,1,1
99922,15.28,75.0,90.28,2,1
49794,16.13,279.9,296.03,8,1
91441,15.1,19.99,35.09,1,1
7879,45.59,169.0,214.59,12,1
30877,35.65,50.0,171.3,3,1
100619,13.45,144.9,158.35,2,1
68291,7.64,110.32,117.96,3,1
5146,18.0,59.97,77.97,3,1
49344,15.23,29.98,45.21,4,1
68989,24.83,359.0,383.83,4,1
97495,15.93,169.0,184.93,4,1
61864,17.63,100.0,235.26,8,1
9573,12.55,150.0,162.55,1,1
72885,18.29,58.5,76.79,1,1
47751,14.1,39.99,54.09,1,1
5854,18.16,129.8,147.96,6,1
30479,14.57,36.99,51.56,5,1
41218,17.82,158.0,175.82,7,1
44157,16.11,31.9,48.01,4,1
62141,9.27,105.0,114.27,1,1
79824,13.71,38.99,210.8,1,1
72963,28.79,49.0,155.58,3,1
76139,84.65,399.9,484.55,8,1
26080,41.78,132.8,174.58,6,1
76887,23.78,129.8,153.58,10,1
11535,18.24,62.9,81.14,1,1
77477,16.46,159.0,392.89,1,1
96115,15.1,25.0,40.1,1,1
20294,16.11,39.7,55.81,2,1
69150,16.37,229.99,246.36,1,1
399,16.83,55.65,72.48,1,1
81314,18.09,119.9,137.99,6,1
57922,8.99,119.0,127.99,1,1
14657,23.69,99.99,123.68,2,1
73329,7.54,96.9,104.44,1,1
68423,19.85,94.8,114.65,1,1
72530,17.02,723.74,50.0,1,14
26500,8.86,229.8,199.15,1,2
95178,14.6,58.0,72.6,1,1
17590,29.23,118.99,148.22,2,1
72565,15.1,18.9,68.0,1,1
23288,10.08,269.9,279.98,6,1
14320,15.23,15.99,62.44,6,1
61118,17.88,65.0,82.88,3,1
53982,38.14,49.3,87.44,6,1
5137,12.97,95.15,108.12,1,1
64466,15.23,25.99,116.04,1,1
8325,16.79,45.0,61.79,2,1
54996,24.33,229.9,254.23,2,1
94722,26.01,440.0,466.01,6,1
108227,18.3,27.9,46.2,1,1
75460,37.53,89.0,126.53,1,1
110016,28.9,70.97,99.87,9,1
30318,13.26,86.0,99.26,1,1
69472,17.06,44.9,3.02,1,3
97043,11.1,326.8,337.9,5,1
57481,23.82,849.0,872.82,10,1
51795,13.37,39.9,53.27,1,1
73161,26.59,230.0,256.59,1,1
76431,26.78,100.0,126.78,6,1
58777,17.45,144.41,161.86,3,1
108422,18.74,289.9,308.64,5,1
102676,18.37,70.0,88.37,1,1
109408,16.82,169.9,373.44,2,1
93571,13.45,77.9,91.35,1,1
89828,15.1,32.64,47.74,4,1
64741,9.73,130.9,562.52,6,1
56205,17.6,34.9,4.77,1,1
18421,63.01,139.99,203.0,1,1
106179,15.1,34.99,50.09,1,1
29242,19.32,35.0,162.96,3,1
105793,12.7,80.9,93.6,2,1
12077,15.01,99.9,114.91,6,1
15618,9.58,109.9,119.48,2,1
93702,25.12,249.0,274.12,1,1
112445,11.85,22.0,33.85,1,1
65818,13.64,139.9,921.24,5,1
106988,13.72,99.9,113.62,8,1
55646,21.36,150.0,171.36,8,1
93461,31.79,46.9,78.69,2,1
8034,16.95,99.9,116.85,3,1
100364,7.39,14.0,10.81,1,1
83368,21.63,69.9,233.94,5,1
80286,51.03,75.0,126.03,3,1
88219,15.11,26.7,30.0,1,1
38528,9.43,99.9,218.66,1,1
78195,17.63,39.99,57.62,1,1
47161,28.11,259.0,287.11,4,1
86858,18.45,81.99,100.44,1,1
102998,57.05,39.9,96.95,1,1
1570,15.65,110.32,251.94,3,1
55471,22.88,79.99,8.42,1,19
81675,12.85,39.9,52.75,1,1
23608,12.79,28.9,41.69,1,1
105926,62.49,739.0,801.49,10,1
80839,11.43,58.99,70.42,3,1
108171,9.89,242.5,504.78,3,1
17978,7.39,49.0,56.39,5,1
49161,22.7,99.9,122.6,1,1
76570,10.96,39.9,50.86,1,1
9555,20.43,1058.0,1078.43,1,1
74506,0.08,179.99,2234.66,10,1
34786,26.93,55.99,331.68,6,1
15760,23.56,129.0,305.13,1,1
104935,34.94,58.8,165.58,10,1
99447,18.25,21.99,40.24,1,1
21632,42.15,199.0,241.15,1,1
24537,17.6,49.9,202.5,4,1
5406,10.78,19.5,59.19,2,1
106113,20.35,159.0,179.35,3,1
35799,2.71,29.0,82.16,2,1
65060,14.0,139.9,153.9,3,1
88862,13.71,46.99,60.7,6,1
53727,15.43,97.49,112.92,2,1
55115,11.85,12.5,24.35,2,1
20727,167.05,69.9,1421.69,1,1
73041,16.07,110.0,126.07,5,1
67615,14.1,39.99,54.09,5,1
94412,22.62,99.0,121.62,2,1
72957,13.4,54.99,68.39,1,1
85762,42.38,49.99,92.37,1,1
71362,23.19,54.99,78.18,3,1
95697,16.85,155.99,172.84,5,1
33250,17.92,49.9,67.82,6,1
108832,19.9,288.0,307.9,8,1
82884,18.54,105.0,41.03,1,2
22886,18.09,119.9,137.99,3,1
103242,15.33,32.7,96.06,2,1
31091,26.84,109.0,135.84,3,1
59631,15.1,39.0,108.2,2,1
86397,23.44,84.9,200.28,1,1
19264,10.55,39.0,109.1,8,1
50425,15.01,179.9,389.82,7,1
66582,15.1,24.9,40.0,1,1
93644,26.99,215.0,241.99,5,1
7770,18.45,50.49,68.94,1,1
88203,21.21,108.9,130.11,2,1
67377,12.69,49.99,1.15,1,3
73943,10.05,239.99,250.04,1,1
